Term,Definition,Category,associatedMaterial
Aesthetic,"The visual appeal, style, or beauty of a work of art or design; a set of principles that guide an artist's choices; the study of beauty and taste in the arts.",visual art,
Balance,"A principle of design that refers to the distribution of visual weight in a composition; can be symmetrical, asymmetrical, or radial; creates harmony, stability, and equilibrium.",elements and principles,
Color theory,"The study of color relationships, interactions, and the impact of color on mood and perception; provides guidelines for color harmony and schemes; helps artists create visually engaging compositions.",elements and principles,
Composition,"The arrangement and organization of visual elements within a work of art or design; determines balance, harmony, and unity; guides the viewer's eye through the piece.",elements and principles,
Contrast,"A principle of design that highlights differences between elements, such as color, shape, or texture; creates visual interest, emphasis, and hierarchy; guides the viewer's attention.",elements and principles,
Elements of design,"The basic components of visual art, including line, shape, form, color, value, texture, and space; the building blocks of a composition.",elements and principles,
Emphasis,"A principle of design that draws attention to a specific area or element in a composition; achieved through color, size, contrast, or other visual techniques; creates a focal point.",elements and principles,
Form,"A three-dimensional element in art, defined by height, width, and depth; can be geometric, organic, or abstract; gives objects volume and space.",elements and principles,
Golden ratio,A mathematical ratio found in nature and art; approximately 1.618:1; creates visually pleasing compositions and proportions.,composition,
Grid,"A framework of intersecting horizontal and vertical lines; used in design to organize content, create alignment, and establish visual hierarchy.","composition,techniques,graphic design",
Hierarchy,"The organization of elements in a composition according to their importance or prominence; guides the viewer's eye and provides structure; often achieved through scale, color, or contrast.",elements and principles,
Hue,"The purest form of color, without tints or shades; refers to the position of a color on the color wheel; distinguishes one color from another.",elements and principles,
Illustration,"Visual artwork created to convey a concept, message, or story; can be in various media, including drawing, painting, or digital; often used in books, advertisements, or editorial content.",visual art,
Kerning,The adjustment of space between individual letters in typography; affects the overall readability and appearance of text; a crucial aspect of graphic design.,techniques,
Line,"A basic element of design; can be straight, curved, or irregular; used to define shapes, create patterns, and add movement to a composition.",elements and principles,
Portraiture,"Traditional portraiture is a painting or photograph of an individual or a group that depicts the mood, expression, and personality of the subject.",art history,
Surrealism,A literary and artistic movement of the 1900s that attempts to express the workings of the subconscious and is characterized by fantastic imagery and incongruous juxtaposition of subject matter.,art history,
Isaac Asimov,"Isaac Asimov's literary works, which includes, ""I","Robot"", explores themes such as the relationship between robots and humans, the nature of intelligence, the limits of technology, the ethics of robotics, and the evolution of society. Asimov's work offers a thought-provoking examination of the consequences of relying too heavily on technology.",historical literary figure,
Real-world scale,"Real-world scale in 3D modeling refers to creating virtual objects or environments that are accurately proportioned and sized in relation to their real-world counterparts. This means that the dimensions of the 3D model match the dimensions of the actual object or environment, and that the model can be used to simulate real-world scenarios or to produce physical objects through techniques such as 3D printing. Real-world scale is important in many fields, including architecture, product design, and animation, as it allows designers and artists to create accurate and realistic representations of real-world objects and environments.",animation,
Videodrome,"Videodrome is a 1983 sci-fi horror film directed by David Cronenberg. The film explores various themes, including the relationship between technology and the human body, the impact of media on society, nature of reality and perception, desire as a political force that can be used to manipulate and control individuals and society as a whole, and search for meaning and identity.","film,scifi",
David Cronenberg,Science fiction film director.,"film,film director",
Zeitguised,A 3D animation and motion design studio. https://zeitguised.com/,art studio,
